userID,password,name,email,faculty,,
C220055,password,Hidayat,C220055@e.ntu.edu.sg,SCSE,,SCSE
D123056,password,Bobby,D123056@e.ntu.edu.sg,EEE,,EEE
E092345,BillyBob,Billy,E092345@e.ntu.edu.sg,ADM,,ADM
F110514,password,Polly,F110514@e.ntu.edu.sg,SSS,,NBS
G321563,Constant,Jimmy,G321563@e.ntu.edu.sg,SCSE,,SSS
T003241,November21,Constable,T003241@e.ntu.edu.sg,SCSE,,
H068832,password,Alif,H068832@e.ntu.edu.sg,ADM,,
Y156742,Blimey,Janson,Y156742@e.ntu.edu.sg,EEE,,
O990252,password,Alex,O990252@e.ntu.edu.sg,NBS,,
V236904,Bunch,Carrey,V236904@e.ntu.edu.sg,SSS,,
M677450,Cakeface,Bateson,M677450@e.ntu.edu.sg,ADM,,
J745297,password,Hailee,J745297@e.ntu.edu.sg,SCSE,,
P248962,Erispass,Erika,P248962@e.ntu.edu.sg,SSS,,
Q659200,Jacksonville,Marcus,Q659200@e.ntu.edu.g,ADM,,
U546798,password,Narnia,U546798@e.ntu.edu.sg,NBS,,
A193076,Reedone,Reeduan,A193076@e.ntu.edu.sg,EEE,,
B085822,Liampayne,Liam,B085822@e.ntu.edu.sg,SCSE,,
X512908,password,Ralph,X512908@e.ntu.edu.sg,ADM,,
I127267,Montagne,Wright,I127267@e.ntu.edu.sg,SSS,,
N890456,password,Ian,N890456@e.ntu.edu.sg,SCSE,,
R153219,Zoomies,Rebecca,R153219@e.ntu.edu.sg,EEE,,
Q678003,Expelliarmus,Harry,Q678003@e.ntu.edu.sg,SSS,,
Y978257,Pong,Ping,Y978257@e.ntu.edu.sg,ADM,,
